"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19135","Monroe County, Iowa","2991","168","88","53","122","77","94","58","124","62","150","63","63","48","119","55","53","40","176","84","231","92","346","125","403","111","446","114","233","88","248","107","95","60",
"0500000US19137","Montgomery County, Iowa","4609","126","205","93","237","127","255","95","213","74","157","73","182","73","139","52","232","95","176","69","372","135","475","120","651","128","483","108","299","80","396","93","137","55",
"0500000US19139","Muscatine County, Iowa","17170","244","659","185","668","179","600","193","529","164","590","175","598","191","745","187","766","200","624","184","1494","296","2054","329","1923","327","2347","289","1311","236","1350","223","912","196",
"0500000US19141","O'Brien County, Iowa","5791","231","200","65","266","98","207","73","232","85","310","118","140","51","167","67","311","128","219","67","546","134","507","117","895","162","872","181","311","105","407","108","201","68",
"0500000US19143","Osceola County, Iowa","2606","94","81","36","105","49","126","48","146","57","113","42","103","43","64","37","92","46","109","48","239","74","248","54","429","96","271","80","159","58","163","54","158","49",
"0500000US19145","Page County, Iowa","6161","198","316","95","336","106","348","117","248","67","342","110","310","112","222","78","276","116","236","80","567","128","645","122","829","140","646","136","332","100","259","77","249","68",
"0500000US19147","Palo Alto County, Iowa","3739","115","107","41","156","69","177","70","119","56","173","74","149","54","149","55","194","69","106","39","306","99","381","75","534","98","438","101","334","80","224","80","192","66",
"0500000US19149","Plymouth County, Iowa","10297","187","245","81","341","100","422","153","262","109","224","85","362","115","228","87","194","68","405","104","791","152","1165","212","1841","267","1069","220","823","140","1011","151","914","167",
"0500000US19151","Pocahontas County, Iowa","3084","111","126","35","78","30","68","33","126","45","158","55","137","43","168","52","165","51","138","54","282","68","364","75","448","72","336","69","151","46","217","55","122","39",
"0500000US19153","Polk County, Iowa","202404","1017","6780","562","5337","710","5562","627","6011","663","5195","583","7351","775","7291","644","7930","754","7707","828","14355","1146","20165","1150","28678","1605","21020","1320","16170","926","21500","1119","21352","946",
"0500000US19155","Pottawattamie County, Iowa","37531","378","1525","271","1421","258","1479","256","1227","240","1506","276","1602","284","1558","267","1459","267","1202","217","2652","327","4345","530","4943","408","4090","409","3055","343","2953","293","2514","279",
"0500000US19157","Poweshiek County, Iowa","7791","219","369","129","438","153","375","130","366","121","232","107","399","155","245","96","326","129","235","92","569","143","857","211","1006","200","803","151","469","111","573","106","529","163",
"0500000US19159","Ringgold County, Iowa","1869","111","34","22","67","26","82","39","60","25","91","34","47","21","109","44","93","35","55","25","199","67","161","41","301","84","191","54","113","39","117","45","149","40",
"0500000US19161","Sac County, Iowa","4251","115","103","40","176","64","191","59","233","71","144","45","124","48","150","57","82","26","168","54","476","86","414","87","697","113","408","65","408","117","253","65","224","52",
"0500000US19163","Scott County, Iowa","72675","553","3540","450","2420","429","2038","305","2542","389","2942","361","2332","319","2313","315","2738","425","2219","286","5612","592","6864","581","9554","712","7791","678","6341","494","6561","579","6868","631",
